tconst,p1,p2,p3,p4,p5,p6
tt0110478,0,0,0,0,0,0
tt0109506,0,0,0,0,0,0
tt0111282,0,0,0,0,0,0
tt0111257,0,0,0,0,0,0
tt0110413,0,0,0,0,0,0
tt0112922,0,0,0,0,0,0
tt0113552,0,0,0,0,0,0
tt0112819,0,0,0,0,0,0
tt0114608,0,0,0,0,0,0
tt0113501,0,0,0,0,0,0
tt0113820,0,0,0,0,0,0
tt0112760,0,0,0,0,0,0
tt0114857,0,0,0,0,0,0
tt0114194,0,0,0,0,0,0
tt0114614,0,0,0,0,0,0
tt0114576,0,0,0,0,0,0
tt0113326,0,0,0,0,0,0
tt0113845,0,0,0,0,0,0
tt0113972,0,0,0,0,0,0
tt0112715,0,0,0,0,0,0
tt0114781,0,0,0,0,0,0
tt0113957,0,0,0,0,0,0
tt0113481,0,0,0,0,0,0
tt0114558,0,0,0,0,0,0
tt0113071,0,0,0,0,0,0
tt0114508,0,0,0,0,0,0
tt0114214,0,0,0,0,0,0
tt0112740,0,0,0,0,0,0
tt0113855,0,0,0,0,0,0
tt0114069,0,0,0,0,0,0
tt0113492,0,0,0,0,0,0
tt0113568,0,0,0,0,0,0
tt0112851,0,0,0,0,0,0
tt0114898,0,0,0,0,0,0
tt0113189,0,0,0,0,0,0
tt0112864,0,0,0,0,0,0
tt0117603,0,0,0,0,0,0
tt0116421,0,0,0,0,0,0
tt0116704,0,0,0,0,0,0
tt0115986,0,0,0,0,0,0
tt0117011,0,0,0,0,0,0
tt0117110,0,0,0,0,0,0
tt0117420,0,0,0,0,0,0
tt0116000,0,0,0,0,0,0
tt0115624,0,0,0,0,0,0
tt0117331,0,0,0,0,0,0
tt0115783,0,0,0,0,0,0
tt0117723,0,0,0,0,0,0
tt0116277,0,0,0,0,0,0
tt0115857,0,0,0,0,0,0
tt0116253,0,0,0,0,0,0
tt0115956,0,0,0,0,0,0
tt0116830,0,0,0,0,0,0
tt0116040,0,0,0,0,0,0
tt0116225,0,0,0,0,0,0
tt0116908,0,0,0,0,0,0
tt0115759,0,0,0,0,0,0
tt0116136,0,0,0,0,0,0
tt0116213,0,0,0,0,0,0
tt0117731,0,0,0,0,0,0
tt0117438,0,0,0,0,0,0
tt0117998,0,0,0,0,0,0
tt0116367,0,0,0,0,0,0
tt0117500,0,0,0,0,0,0
tt0117060,0,0,0,0,0,0
tt0116629,0,0,0,0,0,0
tt0119123,0,0,0,0,0,0
tt0118996,0,0,0,0,0,0
tt0117786,0,0,0,0,0,0
tt0119664,0,0,0,0,0,0
tt0119472,0,0,0,0,0,0
tt0119695,0,0,0,0,0,0
tt0119731,0,0,0,0,0,0
tt0119013,0,0,0,0,0,0
tt0169858,0,0,0,0,0,0
tt0118708,0,0,0,0,0,0
tt0119807,0,0,0,0,0,0
tt0119707,0,0,0,0,0,0
tt0118548,0,0,0,0,0,0
tt0119874,0,0,0,0,0,0
tt0118972,0,0,0,0,0,0
tt0120053,0,0,0,0,0,0
tt0120177,0,0,0,0,0,0
tt0119051,0,0,0,0,0,0
tt0119925,0,0,0,0,0,0
tt0119190,0,0,0,0,0,0
tt0120461,0,0,0,0,0,0
tt0119173,0,0,0,0,0,0
tt0120179,0,0,0,0,0,0
tt0118928,0,0,0,0,0,0
tt0119229,0,0,0,0,0,0
tt0118883,0,0,0,0,0,0
tt0118615,0,0,0,0,0,0
tt0119395,0,0,0,0,0,0
tt0118571,0,0,0,0,0,0
tt0120347,0,0,0,0,0,0
tt0118583,0,0,0,0,0,0
tt0118688,0,0,0,0,0,0
tt0120201,0,0,0,0,0,0
tt0118880,0,0,0,0,0,0
tt0119094,0,0,0,0,0,0
tt0119567,0,0,0,0,0,0
tt0119116,0,0,0,0,0,0
tt0119654,0,0,0,0,0,0
tt0120724,0,0,0,0,0,0
tt0118966,0,0,0,0,0,0
tt0124901,0,0,0,0,0,0
tt0126388,0,0,0,0,0,0
tt0120901,0,0,0,0,0,0
tt0120008,0,0,0,0,0,0
tt0120841,0,0,0,0,0,0
tt0120751,0,0,0,0,0,0
tt0120609,0,0,0,0,0,0
tt0118747,0,0,0,0,0,0
tt0120696,0,0,0,0,0,0
tt0118956,0,0,0,0,0,0
tt0127357,0,0,0,0,0,0
tt0190641,0,0,0,0,0,0
tt0118661,0,0,0,0,0,0
tt0120157,0,0,0,0,0,0
tt0120877,0,0,0,0,0,0
tt0120749,0,0,0,0,0,0
tt0133952,0,0,0,0,0,0
tt0120844,0,0,0,0,0,0
tt0120738,0,0,0,0,0,0
tt0120828,0,0,0,0,0,0
tt0119099,0,0,0,0,0,0
tt0152930,0,0,0,0,0,0
tt0122718,0,0,0,0,0,0
tt0120873,0,0,0,0,0,0
tt0120768,0,0,0,0,0,0
tt0122151,0,0,0,0,0,0
tt0120744,0,0,0,0,0,0
tt0120647,0,0,0,0,0,0
tt0120746,0,0,0,0,0,0
tt0122690,0,0,0,0,0,0
tt0120685,0,0,0,0,0,0
tt0120660,0,0,0,0,0,0
tt0120812,0,0,0,0,0,0
tt0120611,0,0,0,0,0,0
tt0120591,0,0,0,0,0,0
tt0211934,0,0,0,0,0,0
tt0131646,0,0,0,0,0,0
tt0142192,0,0,0,0,0,0
tt0180748,0,0,0,0,0,0
tt0210234,0,0,0,0,0,0
tt0200087,0,0,0,0,0,0
tt0120458,0,0,0,0,0,0
tt0176269,0,0,0,0,0,0
tt0141369,0,0,0,0,0,0
tt0139414,0,0,0,0,0,0
tt0132347,0,0,0,0,0,0
tt0181316,0,0,0,0,0,0
tt0165798,0,0,0,0,0,0
tt0146675,0,0,0,0,0,0
tt0137494,0,0,0,0,0,0
tt0120657,0,0,0,0,0,0
tt0149261,0,0,0,0,0,0
tt0120784,0,0,0,0,0,0
tt0120891,0,0,0,0,0,0
tt0120188,0,0,0,0,0,0
tt0129167,0,0,0,0,0,0
tt0143145,0,0,0,0,0,0
tt0145660,0,0,0,0,0,0
tt0144117,0,0,0,0,0,0
tt0120616,0,0,0,0,0,0
tt0133093,0,0,0,0,0,0
tt0185183,0,0,0,0,0,0
tt0208003,0,0,0,0,0,0
tt0160127,0,0,0,0,0,0
tt0258038,0,0,0,0,0,0
tt0238552,0,0,0,0,0,0
tt0246544,0,0,0,0,0,0
tt0271946,0,0,0,0,0,0
tt0164961,0,0,0,0,0,0
tt0181739,0,0,0,0,0,0
tt0281364,0,0,0,0,0,0
tt0272020,0,0,0,0,0,0
tt0286112,0,0,0,0,0,0
tt0267804,0,0,0,0,0,0
tt0227538,0,0,0,0,0,0
tt0266987,0,0,0,0,0,0
tt0244244,0,0,0,0,0,0
tt0266915,0,0,0,0,0,0
tt0133152,0,0,0,0,0,0
tt0209163,0,0,0,0,0,0
tt0213149,0,0,0,0,0,0
tt0232500,0,0,0,0,0,0
tt0157472,0,0,0,0,0,0
tt0319736,0,0,0,0,0,0
tt0296574,0,0,0,0,0,0
tt0297162,0,0,0,0,0,0
tt0308208,0,0,0,0,0,0
tt0276816,0,0,0,0,0,0
tt0280380,0,0,0,0,0,0
tt0180052,0,0,0,0,0,0
tt0246894,0,0,0,0,0,0
tt0281322,0,0,0,0,0,0
tt0279493,0,0,0,0,0,0
tt0309377,0,0,0,0,0,0
tt0240468,0,0,0,0,0,0
tt0280486,0,0,0,0,0,0
tt0297181,0,0,0,0,0,0
tt0271367,0,0,0,0,0,0
tt0280609,0,0,0,0,0,0
tt0287717,0,0,0,0,0,0
tt0310775,0,0,0,0,0,0
tt0284490,0,0,0,0,0,0
tt0245562,0,0,0,0,0,0
tt0253754,0,0,0,0,0,0
tt0233469,0,0,0,0,0,0
tt0290095,0,0,0,0,0,0
tt0322802,0,0,0,0,0,0
tt0164184,0,0,0,0,0,0
tt0268695,0,0,0,0,0,0
tt0253556,0,0,0,0,0,0
tt0245844,0,0,0,0,0,0
tt0277434,0,0,0,0,0,0
tt0277296,0,0,0,0,0,0
tt0295701,0,0,0,0,0,0
tt0299977,0,0,0,0,0,0
tt0295178,0,0,0,0,0,0
tt0187738,0,0,0,0,0,0
tt0246460,0,0,0,0,0,0
tt0120804,0,0,0,0,0,0
tt0293662,0,0,0,0,0,0
tt0238380,0,0,0,0,0,0
tt0120912,0,0,0,0,0,0
tt0181689,0,0,0,0,0,0
tt0258463,0,0,0,0,0,0
tt0145487,0,0,0,0,0,0
tt0368667,0,0,0,0,0,0
tt0384819,0,0,0,0,0,0
tt0373856,0,0,0,0,0,0
tt0374271,0,0,0,0,0,0
tt0314786,0,0,0,0,0,0
tt0369060,0,0,0,0,0,0
tt0339135,0,0,0,0,0,0
tt0339230,0,0,0,0,0,0
tt0338763,0,0,0,0,0,0
tt0373283,0,0,0,0,0,0
tt0254481,0,0,0,0,0,0
tt0277941,0,0,0,0,0,0
tt0257568,0,0,0,0,0,0
tt0313911,0,0,0,0,0,0
tt0329717,0,0,0,0,0,0
tt0317676,0,0,0,0,0,0
tt0288045,0,0,0,0,0,0
tt0295721,0,0,0,0,0,0
tt0306685,0,0,0,0,0,0
tt0269347,0,0,0,0,0,0
tt0266465,0,0,0,0,0,0
tt0271668,0,0,0,0,0,0
tt0363226,0,0,0,0,0,0
tt0245803,0,0,0,0,0,0
tt0338459,0,0,0,0,0,0
tt0264395,0,0,0,0,0,0
tt0300556,0,0,0,0,0,0
tt0316356,0,0,0,0,0,0
